Timestamp,PID,File read size(MB),Runtime(seconds),Memory usage(MB),Cpu Utilization
5/10/23 9:55,965 6997,0.0625,4.36,19.67,3.4
5/10/23 9:56,627 7040,0.0625,4.24,19.42,1.7
5/10/23 9:56,538 7048,0.0625,4.39,31.36,2.6
5/10/23 9:56,876 7057,0.0625,4.58,31.59,2.2
5/10/23 9:56,174 7068,0.0625,4.54,33.33,1.6
5/10/23 9:56,563 7073,0.0625,4.58,33.2,1.8
5/10/23 9:56,873 7078,0.0625,4.55,31.36,3.6
5/10/23 9:56,033 7118,0.0625,4.49,31.14,1.6
5/10/23 9:57,308 7123,0.0625,4.53,32.34,1.5
5/10/23 9:57,686 7128,0.0625,4.59,31.5,1.5
5/10/23 9:57,971 7134,0.0625,4.54,32.14,1.9
5/10/23 9:57,256 7142,0.0625,4.55,31.84,1.5
5/10/23 9:57,550 7147,0.0625,4.54,32.12,2.5
5/10/23 9:57,946 7152,0.0625,4.59,30.94,2.1
5/10/23 9:58,248 7194,0.0625,4.55,32.12,1.7
5/10/23 9:58,627 7199,0.0625,4.58,31.94,1.7
5/10/23 9:58,887 7205,0.0625,4.53,32.69,2
5/10/23 9:58,090 7213,0.0625,4.5,31.81,3.6
5/10/23 9:58,512 7218,0.0625,4.61,31.97,1.8
5/10/23 9:58,791 7224,0.0625,4.54,30.73,3.2
5/10/23 9:59,019 7263,0.0625,4.51,31.84,1.8
5/10/23 9:59,413 7268,0.0625,4.6,33,1.8
5/10/23 9:59,605 7273,0.0625,4.49,31.91,1.6
5/10/23 9:59,918 7278,0.0625,4.55,31.75,1.9
5/10/23 9:59,297 7286,0.0625,4.59,33.27,2.3
5/10/23 9:59,596 7291,0.0625,4.55,30.55,2.3
5/10/23 9:59,754 7297,0.0625,4.49,31.86,2.3
5/10/23 10:00,056 7329,0.0625,4.55,33.31,1.8
5/10/23 10:00,268 7334,0.0625,4.51,32.03,2.1
5/10/23 10:00,567 7339,0.0625,4.55,31.33,2.2
5/10/23 10:00,944 7347,0.0625,4.59,32.3,1.9
5/10/23 10:00,314 7352,0.0625,4.58,30.48,1.7
5/10/23 10:00,654 7357,0.0625,4.57,31.44,41.4
5/10/23 10:01,149 7398,0.0625,4.65,30.52,2.4
5/10/23 10:01,527 7438,0.0625,4.59,30.72,21.4
5/10/23 10:01,853 7445,0.0625,4.56,31.33,1.5
5/10/23 10:01,145 7450,0.0625,4.55,31.23,6.9
5/10/23 10:01,541 7460,0.0625,4.6,32.75,1.7
5/10/23 10:01,806 7465,0.0625,4.54,31.11,2
5/10/23 10:01,024 7471,0.0625,4.51,31.83,4
5/10/23 10:02,368 7510,0.0625,4.56,32.3,1.5
5/10/23 10:02,690 7515,0.0625,4.56,31.77,1.8
5/10/23 10:02,024 7520,0.0625,4.56,33.14,2
5/10/23 10:02,419 7528,0.0625,4.59,30.66,1.8
5/10/23 10:02,781 7533,0.0625,4.59,30.94,2.4
5/10/23 10:02,110 7538,0.0625,4.57,32.61,1.9
5/10/23 10:03,594 7546,0.0625,4.64,30.86,1.6
5/10/23 10:03,016 7585,0.0625,4.61,31.05,1.6
5/10/23 10:03,432 7590,0.0625,4.6,32.17,1.6
5/10/23 10:03,781 7595,0.0625,4.58,31.28,1.7
5/10/23 10:03,118 7603,0.0625,4.56,32.56,1.6
5/10/23 10:03,581 7608,0.0625,4.62,32.33,1.5
5/10/23 10:03,881 7614,0.0625,4.55,31.33,5.8
5/10/23 10:04,268 7654,0.0625,4.59,32.47,1.8
5/10/23 10:04,672 7659,0.0625,4.6,31.27,3.1
5/10/23 10:04,060 7667,0.0625,4.59,31.48,1.5
5/10/23 10:04,403 7672,0.0625,4.57,31,1.7
5/10/23 10:04,839 7681,0.0625,4.62,31.53,1.9
5/10/23 10:04,239 7686,0.0625,4.6,32.05,1.8
5/10/23 10:05,888 7691,0.0625,4.72,30.75,1.6
5/10/23 10:05,480 7730,0.0625,4.68,31.7,1.6
5/10/23 10:05,117 7735,0.0625,4.7,31.3,1.6
5/10/23 10:05,745 7740,0.0625,4.71,32.11,1.2
5/10/23 10:05,198 7748,0.0625,4.62,32.66,2.1
5/10/23 10:05,699 7756,0.0625,4.65,30.34,2
5/10/23 10:06,225 7767,0.0625,4.65,32.5,3.6
5/10/23 10:06,125 7809,0.0625,8.85,32.89,11.6
5/10/23 10:06,646 7853,0.0625,4.65,32.75,2.4
5/10/23 10:06,226 7858,0.0625,4.68,32.3,2.5
5/10/23 10:06,606 7866,0.0625,4.58,30.25,1.8
5/10/23 10:06,167 7872,0.0625,4.67,31.64,1.7
5/10/23 10:07,738 7877,0.0625,4.69,31.5,3.2
5/10/23 10:07,252 7916,0.0625,4.65,31.34,2.3
5/10/23 10:07,733 7921,0.0625,4.63,32.64,1.7
5/10/23 10:07,216 7926,0.0625,4.63,30.14,1.5
5/10/23 10:07,735 7934,0.0625,4.65,31.59,1.8
5/10/23 10:07,141 7940,0.0625,4.6,32.91,1.5
5/10/23 10:08,592 7949,0.0625,4.62,31.67,1.7
5/10/23 10:08,178 7954,0.0625,4.67,31.75,1.5
5/10/23 10:08,539 7993,0.0625,4.58,31.78,1.6
5/10/23 10:08,971 7998,0.0625,4.62,31.16,1.6
5/10/23 10:08,293 8003,0.0625,4.56,30.92,1.9
5/10/23 10:08,636 8011,0.0625,4.57,31.25,2.4
5/10/23 10:09,917 8016,0.0625,4.54,31.33,3.8
5/10/23 10:09,322 8021,0.0625,4.6,32.06,3.2
5/10/23 10:09,681 8052,0.0625,4.57,31.33,1.7
5/10/23 10:09,879 8057,0.0625,4.5,30.62,1.8
5/10/23 10:09,246 8062,0.0625,4.59,32.38,2.5
5/10/23 10:09,679 8070,0.0625,4.62,32.02,2
5/10/23 10:09,016 8076,0.0625,4.57,31.92,1.5
5/10/23 10:10,501 8081,0.0625,4.65,31.28,1.6
5/10/23 10:10,135 8086,0.0625,4.71,33.77,1.3
5/10/23 10:10,607 8125,0.0625,4.63,31.55,1.8
5/10/23 10:10,096 8130,0.0625,4.64,33.2,1.4
5/10/23 10:10,517 8135,0.0625,4.61,30.56,1.6
5/10/23 10:10,015 8143,0.0625,4.64,31.52,1.8
5/10/23 10:11,513 8148,0.0625,4.64,30.39,1.5
5/10/23 10:11,079 8153,0.0625,4.68,30.86,2.3
5/10/23 10:11,596 8184,0.0625,4.65,31.38,1.4
5/10/23 10:11,087 8189,0.0625,4.63,31.75,2
5/10/23 10:11,587 8200,0.0625,4.64,33.52,1.9
5/10/23 10:11,181 8208,0.0625,4.69,31.81,1.5
5/10/23 10:12,569 8214,0.0625,4.59,32.17,1.8
5/10/23 10:12,951 8219,0.0625,4.58,31.14,2.9
5/10/23 10:12,473 8253,0.0625,4.66,31.22,2.1
5/10/23 10:12,942 8263,0.0625,4.62,31.66,2.3
5/10/23 10:12,394 8268,0.0625,4.63,33.67,1.8
5/10/23 10:12,802 8273,0.0625,4.59,32.39,1.6
5/10/23 10:12,308 8281,0.0625,4.65,31.61,2
5/10/23 10:13,767 8289,0.0625,4.62,31.89,1.4
5/10/23 10:13,088 8294,0.0625,4.56,31.94,1.2
5/10/23 10:13,484 8333,0.0625,4.6,31.38,1.4
5/10/23 10:13,817 8338,0.0625,4.57,31.86,1.6
5/10/23 10:13,952 8343,0.0625,4.47,31.17,2
5/10/23 10:13,631 8351,0.0625,3.24,32.2,2.1